developer,user_id,recommend,app_name,posted
Valve,Bennysaputra,True,Counter-Strike,2015
Valve,Monsta45,True,Counter-Strike,2015
Valve,76561198040188061,True,Counter-Strike,2011
Valve,mayshowganmore,True,Counter-Strike,2014
Valve,BestinTheWorldThund3r,True,Counter-Strike,2014
Valve,apex124,True,Counter-Strike,2014
Valve,76561198072207162,True,Counter-Strike,2014
Valve,timtam012,True,Counter-Strike,2014
Valve,chewyi,True,Counter-Strike,2014
Valve,Bigzy,True,Counter-Strike,2014
Valve,Monsta45,True,Counter-Strike,2015
Valve,peetsasucks,False,Counter-Strike,2015
Valve,shaman3soul3,True,Counter-Strike,2014
Valve,76561198015886143,True,Counter-Strike,2015
Valve,71251241,True,Counter-Strike,2015
Valve,maddoxx789,True,Counter-Strike,2012
Valve,lanatbeonakeehsasamokoshtan,True,Counter-Strike,2014
Valve,aman98,True,Counter-Strike,2015
Valve,76561198001699914,True,Counter-Strike,2013
Valve,OG1,True,Counter-Strike,2015
Valve,brahhhhcsgomatee,True,Counter-Strike,2015
Valve,pwnddumass,True,Counter-Strike,2014
Valve,NicolasNic,True,Counter-Strike,2014
Valve,Hype_R,True,Counter-Strike,2014
Valve,KILLERamateur,True,Counter-Strike,2014
Valve,LiberationestZ,True,Counter-Strike,2015
Valve,76561198082737449,True,Counter-Strike,2014
Valve,76561198085715384,True,Counter-Strike,2013
Valve,fuckingdinasaww,True,Counter-Strike,2014
Valve,mixadance,True,Counter-Strike,2012
Valve,TheRealChris02,True,Counter-Strike,2015
Valve,rekkler,True,Counter-Strike,2014
Valve,76561198134580826,True,Counter-Strike,2014
Valve,cumme,True,Counter-Strike,2015
Valve,7656319335278779,True,Counter-Strike,2015
Valve,waspish,True,Counter-Strike,2012
Valve,Katidis,True,Counter-Strike,2014
Valve,666_pl_Satan_pl_666,True,Counter-Strike,2013
Valve,officialrobo,True,Counter-Strike,2013
Valve,playergdgsd,True,Counter-Strike,2015
Valve,Junkieee,True,Counter-Strike,2014
Valve,amoocow,True,Counter-Strike,2014
Valve,epic_doom,True,Counter-Strike,2013
Valve,urami,True,Counter-Strike,2014
Valve,76561198056101934,True,Counter-Strike,2014
Valve,xboctisbest,True,Counter-Strike,2014
Valve,the_suicidal_psychomidget,True,Counter-Strike,2014
Valve,76561198076217855,True,Counter-Strike,2014
Valve,Tokiwadai,True,Counter-Strike,2015
Valve,inconi70,True,Counter-Strike,2014
Valve,76561198089673598,True,Counter-Strike,2014
Valve,JunglisJust-M-tlifewithmegg,True,Counter-Strike,2015
Valve,t1e57o,True,Counter-Strike,2013
Valve,76561198107235245,True,Counter-Strike,2013
Valve,76561198122904623,True,Counter-Strike,2015
Valve,nottynotty,True,Counter-Strike,2014
Valve,mizi,True,Counter-Strike,2015
Treyarch,76561198073508075,True,Call of Duty: World at War,2014
Treyarch,76561198110065267,True,Call of Duty: World at War,2015
Treyarch,gatorgolfing,True,Call of Duty: World at War,2013
Treyarch,DeliciousPuddin,True,Call of Duty: World at War,2015
Treyarch,JunG00berfuckingsucks,True,Call of Duty: World at War,2015
Treyarch,TheDetailedMovieTDM,True,Call of Duty: World at War,2015
Treyarch,MrSaberr,True,Call of Duty: World at War,2015
Treyarch,76561198094665607,True,Call of Duty: World at War,2013
Treyarch,76561198094665607,True,Call of Duty: World at War,2013
Treyarch,Zodiac011,True,Call of Duty: World at War,2014
Treyarch,76561198103389855,True,Call of Duty: World at War,2015
Treyarch,18228272828,True,Call of Duty: World at War,2014
Treyarch,JackalOfLight,True,Call of Duty: World at War,2015
Treyarch,e-a-g-l-e-s_eagles,True,Call of Duty: World at War,2014
Treyarch,fruity_ninja,True,Call of Duty: World at War,2013
Treyarch,Nexu-Kun,True,Call of Duty: World at War,2014
Treyarch,76561198060201321,True,Call of Duty: World at War,2013
Treyarch,ITISTHENUTSHACK,True,Call of Duty: World at War,2014
Treyarch,SuperExpertPlayer,True,Call of Duty: World at War,2014
Treyarch,Lolicon_Banzai,True,Call of Duty: World at War,2014
Treyarch,76561198057886565,True,Call of Duty: World at War,2015
Treyarch,Tyler_simpson,True,Call of Duty: World at War,2014
Treyarch,AZA1498,True,Call of Duty: World at War,2014
Treyarch,calstormgamer123,True,Call of Duty: World at War,2014
Treyarch,BuffinMutton,True,Call of Duty: World at War,2015
Treyarch,1MLG2U,True,Call of Duty: World at War,2015
Treyarch,EnviroReal,True,Call of Duty: World at War,2014
Treyarch,JimmyCheese,True,Call of Duty: World at War,2014
Treyarch,LordOfTheCringe,True,Call of Duty: World at War,2012
Treyarch,76561198091203454,False,Call of Duty: World at War,2015
Treyarch,mutanterex22,True,Call of Duty: World at War,2013
Treyarch,samdidit,True,Call of Duty: World at War,2014
Treyarch,76561198056474589,True,Call of Duty: World at War,2015
Treyarch,theproficy,True,Call of Duty: World at War,2015
Treyarch,76561198037337200,True,Call of Duty: World at War,2014
Treyarch,76561198040697106,True,Call of Duty: World at War,2015
Treyarch,xxrileyyzz,True,Call of Duty: World at War,2014
Treyarch,76561198048346071,True,Call of Duty: World at War,2014
Treyarch,jaydanred,True,Call of Duty: World at War,2015
Treyarch,76561198058927850,True,Call of Duty: World at War,2014
Treyarch,76561198059406203,True,Call of Duty: World at War,2015
Treyarch,76561198064948275,True,Call of Duty: World at War,2015
Treyarch,Count_Douch,True,Call of Duty: World at War,2014
Treyarch,darthdan97,True,Call of Duty: World at War,2014
Treyarch,76561198072730323,True,Call of Duty: World at War,2014
Treyarch,1stBLUE-COW,True,Call of Duty: World at War,2014
Treyarch,MentalGentlemen56,True,Call of Duty: World at War,2013
Treyarch,76561198081677455,True,Call of Duty: World at War,2014
Treyarch,76561198081822083,True,Call of Duty: World at War,2014
Treyarch,76561198084295600,True,Call of Duty: World at War,2015
Treyarch,yourlittlescarecrow,True,Call of Duty: World at War,2014
Treyarch,76561198093283574,True,Call of Duty: World at War,2013
Saber Interactive,Shemhamphorasch,True,TimeShift™,2014
Saber Interactive,Foxxy346,True,TimeShift™,2015
Wanako Games,tsunamitad,True,3D Ultra™ Minigolf Adventures,2011
Radical Entertainment,TomoeMamiewe,True,Prototype™,2014
Radical Entertainment,MysticZemo,True,Prototype™,2015
Radical Entertainment,ghostlybug22,True,Prototype™,2014
Radical Entertainment,virtueavatar,True,Prototype™,2010
Radical Entertainment,grimnixilis,True,Prototype™,2014
Radical Entertainment,you31,True,Prototype™,2013
Radical Entertainment,76561198059323361,True,Prototype™,2012
