developer,sentiment-analysis
Valve,2.0
Valve,1.0
Valve,2.0
Valve,2.0
Valve,2.0
Valve,1.0
Valve,2.0
Valve,1.0
Valve,2.0
Valve,2.0
Valve,1.0
Valve,2.0
Valve,2.0
Valve,1.0
Valve,2.0
Valve,2.0
Valve,2.0
Valve,2.0
Valve,1.0
Valve,2.0
Valve,1.0
Valve,2.0
Valve,2.0
Valve,2.0
Valve,2.0
Valve,2.0
Valve,1.0
Valve,1.0
Valve,2.0
Valve,2.0
Valve,2.0
Valve,0.0
Valve,2.0
Valve,2.0
Valve,2.0
Valve,2.0
Valve,2.0
Valve,1.0
Valve,1.0
Valve,2.0
Valve,1.0
Valve,1.0
Valve,1.0
Valve,1.0
Valve,1.0
Valve,0.0
Valve,2.0
Valve,2.0
Valve,2.0
Valve,1.0
Valve,1.0
Valve,2.0
Valve,1.0
Valve,1.0
Valve,2.0
Valve,1.0
Valve,2.0
Treyarch,2.0
Treyarch,2.0
Treyarch,2.0
Treyarch,2.0
Treyarch,2.0
Treyarch,2.0
Treyarch,2.0
Treyarch,2.0
Treyarch,2.0
Treyarch,2.0
Treyarch,2.0
Treyarch,2.0
Treyarch,2.0
Treyarch,1.0
Treyarch,2.0
Treyarch,0.0
Treyarch,2.0
Treyarch,0.0
Treyarch,2.0
Treyarch,2.0
Treyarch,2.0
Treyarch,2.0
Treyarch,2.0
Treyarch,2.0
Treyarch,2.0
Treyarch,2.0
Treyarch,2.0
Treyarch,1.0
Treyarch,1.0
Treyarch,2.0
Treyarch,0.0
Treyarch,0.0
Treyarch,2.0
Treyarch,2.0
Treyarch,1.0
Treyarch,2.0
Treyarch,2.0
Treyarch,2.0
Treyarch,1.0
Treyarch,2.0
Treyarch,2.0
Treyarch,0.0
Treyarch,2.0
Treyarch,0.0
Treyarch,1.0
Treyarch,2.0
Treyarch,2.0
Treyarch,2.0
Treyarch,2.0
Treyarch,2.0
Treyarch,2.0
Treyarch,2.0
Saber Interactive,2.0
Saber Interactive,2.0
Wanako Games,0.0
Radical Entertainment,1.0
Radical Entertainment,0.0
Radical Entertainment,2.0
Radical Entertainment,2.0
Radical Entertainment,2.0
Radical Entertainment,2.0
Radical Entertainment,2.0
Radical Entertainment,2.0
Radical Entertainment,2.0
"Infinity Ward,Aspyr (Mac)",1.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",1.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",1.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",0.0
"Infinity Ward,Aspyr (Mac)",1.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",1.0
"Infinity Ward,Aspyr (Mac)",0.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",0.0
"Infinity Ward,Aspyr (Mac)",0.0
"Infinity Ward,Aspyr (Mac)",1.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",0.0
"Infinity Ward,Aspyr (Mac)",0.0
"Infinity Ward,Aspyr (Mac)",0.0
"Infinity Ward,Aspyr (Mac)",1.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",1.0
"Infinity Ward,Aspyr (Mac)",1.0
"Infinity Ward,Aspyr (Mac)",0.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",1.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",1.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",0.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",0.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",0.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",1.0
"Infinity Ward,Aspyr (Mac)",1.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",0.0
"Infinity Ward,Aspyr (Mac)",1.0
"Infinity Ward,Aspyr (Mac)",1.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",0.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",1.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",1.0
"Infinity Ward,Aspyr (Mac)",0.0
"Infinity Ward,Aspyr (Mac)",0.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",1.0
"Infinity Ward,Aspyr (Mac)",1.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",1.0
"Infinity Ward,Aspyr (Mac)",1.0
"Infinity Ward,Aspyr (Mac)",1.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",0.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",1.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",0.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",0.0
"Infinity Ward,Aspyr (Mac)",2.0
"Infinity Ward,Aspyr (Mac)",2.0
Trashmasters,2.0
Trashmasters,0.0
Trashmasters,0.0
Trashmasters,0.0
Trashmasters,2.0
Trashmasters,0.0
Trashmasters,2.0
"Big Huge Games,38 Studios",2.0
"Big Huge Games,38 Studios",2.0
"Big Huge Games,38 Studios",2.0
"Big Huge Games,38 Studios",2.0
"Big Huge Games,38 Studios",1.0
"Big Huge Games,38 Studios",2.0
"Big Huge Games,38 Studios",2.0
"Big Huge Games,38 Studios",1.0
"Big Huge Games,38 Studios",2.0
"Big Huge Games,38 Studios",2.0
"Big Huge Games,38 Studios",2.0
"Big Huge Games,38 Studios",2.0
"Big Huge Games,38 Studios",0.0
